,Filename,TTR,WordCount,UniqueWords,MLU,Fillers,NSNouns,LIVerbs,$,'',",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,``,SYM,FW,WP$
20,Bush - Speech67 - Edited.txt,0.2588,2500.0,647.0,22.136,9.0,7.0,103.0,0.0,0.0,142.0,125.0,31.0,99.0,13.0,275.0,9.0,303.0,121.0,4.0,7.0,67.0,238.0,124.0,13.0,79.0,1.0,2.0,224.0,15.0,208.0,4.0,0.0,7.0,89.0,4.0,165.0,67.0,34.0,60.0,112.0,72.0,18.0,22.0,10.0,1.0,0.0,1.0,1.0
21,Bush - Speech10 - Edited.txt,0.35069699192956716,1363.0,478.0,19.68831168831169,9.0,1.0,61.0,0.0,0.0,73.0,77.0,17.0,71.0,4.0,127.0,4.0,165.0,76.0,2.0,0.0,31.0,135.0,57.0,9.0,54.0,0.0,2.0,122.0,10.0,81.0,1.0,2.0,11.0,63.0,4.0,101.0,23.0,26.0,27.0,72.0,39.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0
22,Bush - Speech61 - Edited.txt,0.21798365122615804,4404.0,960.0,17.84115523465704,17.0,12.0,204.0,1.0,0.0,256.0,277.0,58.0,201.0,20.0,447.0,22.0,448.0,175.0,14.0,2.0,84.0,420.0,154.0,9.0,152.0,1.0,11.0,501.0,31.0,375.0,8.0,1.0,25.0,141.0,9.0,297.0,129.0,94.0,91.0,261.0,121.0,18.0,57.0,31.0,0.0,0.0,0.0,0.0
23,Bush - Speech109 - Edited.txt,0.2655709342560554,2312.0,614.0,21.88135593220339,2.0,9.0,96.0,0.0,5.0,150.0,118.0,10.0,100.0,15.0,222.0,10.0,249.0,115.0,17.0,3.0,63.0,245.0,93.0,7.0,90.0,2.0,6.0,212.0,28.0,168.0,8.0,1.0,6.0,102.0,7.0,176.0,23.0,52.0,25.0,130.0,78.0,18.0,18.0,4.0,6.0,0.0,0.0,0.0
24,Bush - Speech16 - Edited.txt,0.2412689949346841,3751.0,905.0,19.9,23.0,8.0,112.0,0.0,4.0,214.0,210.0,79.0,194.0,20.0,388.0,30.0,407.0,184.0,20.0,2.0,66.0,418.0,158.0,6.0,121.0,0.0,12.0,348.0,38.0,279.0,7.0,2.0,23.0,112.0,4.0,190.0,135.0,70.0,72.0,154.0,123.0,16.0,38.0,27.0,4.0,0.0,3.0,1.0
25,Bush - Speech23 - Edited.txt,0.2372340425531915,2820.0,669.0,16.746031746031747,12.0,13.0,121.0,0.0,0.0,149.0,189.0,48.0,130.0,13.0,302.0,23.0,270.0,139.0,8.0,5.0,75.0,281.0,87.0,2.0,80.0,5.0,5.0,314.0,29.0,205.0,4.0,0.0,25.0,88.0,9.0,183.0,60.0,63.0,53.0,168.0,87.0,13.0,37.0,16.0,0.0,0.0,0.0,0.0
26,Bush - Speech35 - Edited.txt,0.32536764705882354,1088.0,354.0,19.158730158730158,4.0,2.0,52.0,0.0,0.0,54.0,63.0,18.0,52.0,8.0,114.0,10.0,124.0,45.0,3.0,1.0,21.0,119.0,31.0,4.0,45.0,0.0,1.0,124.0,5.0,72.0,2.0,0.0,2.0,41.0,3.0,71.0,32.0,24.0,12.0,68.0,23.0,6.0,7.0,2.0,0.0,0.0,0.0,0.0
27,Bush - Speech115 - Edited.txt,0.28245299910474486,2234.0,631.0,17.549295774647888,6.0,3.0,76.0,0.0,3.0,114.0,142.0,24.0,91.0,27.0,245.0,10.0,244.0,128.0,13.0,3.0,46.0,232.0,74.0,14.0,87.0,2.0,4.0,214.0,20.0,173.0,4.0,2.0,5.0,84.0,6.0,132.0,55.0,37.0,35.0,121.0,62.0,13.0,16.0,7.0,3.0,0.0,0.0,0.0
28,Bush - Speech92 - Edited.txt,0.24393673110720562,2845.0,694.0,19.275449101796408,13.0,6.0,121.0,0.0,4.0,202.0,167.0,15.0,131.0,15.0,289.0,15.0,307.0,140.0,4.0,6.0,83.0,280.0,97.0,6.0,98.0,4.0,3.0,318.0,22.0,219.0,3.0,0.0,13.0,93.0,7.0,172.0,92.0,50.0,68.0,140.0,95.0,13.0,32.0,10.0,4.0,0.0,2.0,0.0
29,Bush - Speech32 - Edited.txt,0.22550629447181172,3654.0,824.0,18.86111111111111,13.0,16.0,144.0,0.0,1.0,201.0,216.0,51.0,165.0,19.0,382.0,31.0,393.0,171.0,9.0,5.0,73.0,361.0,93.0,4.0,122.0,2.0,5.0,436.0,39.0,235.0,4.0,3.0,14.0,118.0,7.0,207.0,122.0,60.0,91.0,249.0,92.0,28.0,33.0,31.0,1.0,0.0,0.0,0.0
30,Bush - Speech74 - Edited.txt,0.3163064833005894,1527.0,483.0,17.06,2.0,2.0,56.0,0.0,2.0,79.0,100.0,23.0,62.0,3.0,156.0,7.0,175.0,84.0,6.0,2.0,39.0,131.0,101.0,7.0,52.0,0.0,3.0,141.0,12.0,113.0,1.0,0.0,9.0,55.0,5.0,99.0,32.0,30.0,29.0,79.0,44.0,7.0,13.0,3.0,2.0,0.0,0.0,0.0
