,index,Filename,Date,JDate,Julian,TTR,WordCount,UniqueWords,MLU,",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,'',POS,``,PDT,WP$,$,FW,SYM,Nouns,Nouns/100,NounsNormalised,Adjectives,Adjectives/100,AdjectivesNormalised,Adverbs,Adverbs/100,AdverbsNormalised,Verbs,Verbs/100,VerbsNormalised
32,32,Bush - Speech35 - Edited.txt,15/02/1990,1990-02-15,2447937.5,0.32536764705882354,1088.0,354.0,19.15873015873016,54.0,63.0,18.0,52.0,8.0,114.0,10.0,124.0,45.0,3.0,1.0,21.0,119.0,31.0,4.0,45.0,124.0,5.0,72.0,2.0,0.0,2.0,41.0,3.0,71.0,32.0,24.0,12.0,68.0,23.0,6.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,1.99,0.18290441176470587,49.0,0.49,0.04503676470588235,74.0,0.74,0.06801470588235294,230.0,2.3,0.2113970588235294
33,33,Bush - Speech34 - Edited.txt,15/02/1990,1990-02-15,2447937.5,0.4435643564356436,505.0,224.0,20.555555555555557,23.0,27.0,8.0,19.0,3.0,66.0,2.0,69.0,22.0,0.0,1.0,12.0,57.0,24.0,5.0,23.0,43.0,6.0,31.0,0.0,0.0,1.0,12.0,0.0,28.0,8.0,11.0,10.0,21.0,14.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,1.09,0.21584158415841584,23.0,0.23,0.04554455445544554,31.0,0.31,0.061386138613861385,92.0,0.92,0.18217821782178217
34,34,Bush - Speech36 - Edited.txt,25/02/1990,1990-02-25,2447947.5,0.2775510204081633,2205.0,612.0,19.228346456692915,108.0,127.0,27.0,105.0,12.0,237.0,14.0,256.0,116.0,7.0,1.0,58.0,217.0,129.0,9.0,87.0,181.0,24.0,152.0,0.0,1.0,21.0,69.0,2.0,126.0,39.0,35.0,52.0,97.0,77.0,17.0,20.0,11.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,442.0,4.42,0.20045351473922904,124.0,1.24,0.05623582766439909,153.0,1.53,0.06938775510204082,426.0,4.26,0.19319727891156463
35,35,Bush - Speech37 - Edited.txt,03/03/1990,1990-03-03,2447953.5,0.26054590570719605,2821.0,735.0,18.538011695906434,176.0,171.0,43.0,133.0,17.0,292.0,8.0,307.0,149.0,5.0,1.0,53.0,287.0,119.0,6.0,97.0,321.0,29.0,206.0,4.0,2.0,4.0,100.0,6.0,159.0,90.0,51.0,54.0,156.0,77.0,12.0,15.0,14.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,509.0,5.09,0.1804324707550514,155.0,1.55,0.054945054945054944,212.0,2.12,0.07515065579581709,587.0,5.87,0.20808224034030487
36,36,Bush - Speech38 - Edited.txt,13/03/1990,1990-03-13,2447963.5,0.22965412004069174,3932.0,903.0,17.17120622568093,218.0,257.0,62.0,187.0,23.0,413.0,27.0,428.0,167.0,9.0,2.0,76.0,396.0,159.0,5.0,134.0,446.0,28.0,280.0,5.0,0.0,25.0,125.0,10.0,219.0,71.0,97.0,65.0,287.0,109.0,23.0,27.0,21.0,1.0,5.0,1.0,3.0,0.0,0.0,2.0,0.0,694.0,6.94,0.17650050864699898,178.0,1.78,0.045269582909460836,285.0,2.85,0.07248219735503561,848.0,8.48,0.21566632756866735
37,37,Bush - Speech39 - Edited.txt,22/03/1990,1990-03-22,2447972.5,0.2733333333333333,2250.0,615.0,16.766666666666666,112.0,150.0,32.0,96.0,11.0,235.0,9.0,256.0,111.0,4.0,1.0,53.0,232.0,131.0,15.0,68.0,221.0,39.0,149.0,0.0,0.0,14.0,77.0,1.0,143.0,34.0,39.0,49.0,130.0,62.0,12.0,11.0,15.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,446.0,4.46,0.19822222222222222,116.0,1.16,0.051555555555555556,149.0,1.49,0.06622222222222222,457.0,4.57,0.2031111111111111
38,38,Bush - Speech40 - Edited.txt,23/03/1990,1990-03-23,2447973.5,0.2929014472777395,2902.0,850.0,19.18452380952381,147.0,168.0,48.0,133.0,19.0,306.0,13.0,320.0,154.0,4.0,2.0,64.0,312.0,160.0,5.0,92.0,281.0,32.0,182.0,5.0,2.0,14.0,111.0,7.0,175.0,55.0,72.0,45.0,149.0,78.0,19.0,21.0,16.0,1.0,7.0,1.0,2.0,0.0,1.0,0.0,0.0,569.0,5.69,0.19607167470709855,160.0,1.6,0.05513439007580979,189.0,1.89,0.0651274982770503,574.0,5.74,0.1977946243969676
39,39,Bush - Speech41 - Edited.txt,10/04/1990,1990-04-10,2447991.5,0.3484848484848485,1320.0,460.0,24.35,80.0,60.0,20.0,60.0,6.0,148.0,3.0,160.0,77.0,2.0,1.0,31.0,147.0,80.0,7.0,40.0,114.0,12.0,76.0,2.0,0.0,4.0,43.0,0.0,77.0,20.0,20.0,29.0,64.0,48.0,14.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,274.0,2.74,0.20757575757575758,80.0,0.8,0.06060606060606061,78.0,0.78,0.05909090909090909,258.0,2.58,0.19545454545454546
40,40,Bush - Speech42 - Edited.txt,13/04/1990,1990-04-13,2447994.5,0.310589519650655,1832.0,569.0,21.806451612903228,101.0,93.0,21.0,100.0,8.0,162.0,11.0,201.0,102.0,3.0,0.0,45.0,164.0,100.0,9.0,72.0,193.0,20.0,130.0,2.0,0.0,10.0,73.0,0.0,112.0,30.0,39.0,39.0,112.0,43.0,9.0,14.0,5.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,345.0,3.45,0.18831877729257643,105.0,1.05,0.05731441048034935,132.0,1.32,0.07205240174672489,375.0,3.75,0.2046943231441048
41,41,Bush - Speech43 - Edited.txt,19/04/1990,1990-04-19,2448000.5,0.3713163064833006,1018.0,378.0,18.193548387096776,46.0,62.0,12.0,46.0,1.0,100.0,7.0,132.0,47.0,1.0,0.0,23.0,106.0,75.0,11.0,38.0,86.0,14.0,68.0,0.0,0.0,1.0,31.0,3.0,51.0,21.0,20.0,25.0,55.0,26.0,4.0,10.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,2.3,0.22593320235756384,48.0,0.48,0.047151277013752456,68.0,0.68,0.06679764243614932,198.0,1.98,0.1944990176817289
